title,runtime,metascore,rating,genre
The Shallows,86,59,6.4,drama
Underworld Awakening,88,39,6.4,action
White House Down,131,52,6.4,action
All Good Things,101,57,6.3,drama
Angry Birds,97,,6.3,action
Bastille Day,92,48,6.3,action
Billy Lynn's Long Halftime Walk,113,53,6.3,drama
Central Intelligence,107,52,6.3,action
Criminal,113,36,6.3,action
Dracula Untold,92,40,6.3,action
Endless Love,104,30,6.3,drama
Goosebumps,103,60,6.3,comedy
Hacker,95,,6.3,drama
"Hail, Caesar!",106,72,6.3,comedy
Horrible Bosses 2,108,40,6.3,comedy
Keanu,100,63,6.3,action
Lowriders,99,57,6.3,drama
Maze Runner: The Scorch Trials,131,43,6.3,action
Mr. Right,95,52,6.3,action
Paper Towns,109,56,6.3,drama
Personal Shopper,105,77,6.3,drama
Sausage Party,89,66,6.3,comedy
Scouts Guide to the Zombie Apocalypse,93,32,6.3,action
Spectral,107,39,6.3,action
Take Me Home Tonight,97,,6.3,comedy
Ted 2,115,48,6.3,comedy
The Belko Experiment,89,44,6.3,action
The Family,111,42,6.3,comedy
The Internship,119,42,6.3,comedy
The Legend of Tarzan,110,44,6.3,action
The Survivalist,104,80,6.3,drama
This Means War,103,31,6.3,action
To Rome with Love,112,54,6.3,comedy
Total Recall,118,43,6.3,action
Trainwreck,125,75,6.3,comedy
Transcendence,119,42,6.3,drama
Transformers: Dark of the Moon,154,42,6.3,action
Triple 9,115,52,6.3,action
Under the Skin,108,78,6.3,drama
Why Him?,111,39,6.3,comedy
3 Days to Kill,117,40,6.2,action
300: Rise of an Empire,102,48,6.2,action
Adoration,112,37,6.2,drama
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,54,6.2,comedy
Bad Moms,100,60,6.2,comedy
Beautiful Creatures,124,52,6.2,drama
Beowulf,115,59,6.2,action
Cars 2,106,57,6.2,comedy
Closed Circuit,96,50,6.2,drama
Dark Places,113,39,6.2,drama
Dark Shadows,113,55,6.2,comedy
Dear White People,108,79,6.2,comedy
Diary of a Wimpy Kid,94,56,6.2,comedy
Grimsby,83,44,6.2,action
Half of a Yellow Sun,111,51,6.2,drama
In Dubious Battle,110,43,6.2,drama
Indiana Jones and the Kingdom of the Crystal Skull,122,65,6.2,action
Inferno,121,42,6.2,action
Jack Ryan: Shadow Recruit,105,57,6.2,action
Night at the Museum: Secret of the Tomb,98,47,6.2,comedy
No Strings Attached,108,50,6.2,comedy
RoboCop,117,52,6.2,action
Secret in Their Eyes,111,45,6.2,drama
Spider-Man 3,139,59,6.2,action
Step Up 2: The Streets,98,50,6.2,drama
Suicide Squad,123,40,6.2,action
That Awkward Moment,94,36,6.2,comedy
The Karate Kid,140,61,6.2,action
The Love Witch,120,82,6.2,comedy
The Visit,94,55,6.2,comedy
This Is 40,134,,6.2,comedy
We Are Your Friends,96,46,6.2,drama
10 Years,100,,6.1,comedy
A Dark Song,100,67,6.1,drama
A Hologram for the King,98,58,6.1,comedy
A Million Ways to Die in the West,116,44,6.1,comedy
American Pastoral,108,,6.1,drama
Before I Wake,97,,6.1,drama
Daddy's Home,96,42,6.1,comedy
Devil's Knot,114,42,6.1,drama
Equals,101,43,6.1,drama
Good Kids,86,86,6.1,comedy
How to Be Single,110,51,6.1,comedy
I Am Number Four,109,36,6.1,action
Jack Reacher: Never Go Back,118,47,6.1,action
Jumper,88,35,6.1,action
Magic Mike,110,72,6.1,comedy
San Andreas,114,43,6.1,action
Snow White and the Huntsman,127,57,6.1,action
Sucker Punch,110,33,6.1,action
Superman Returns,154,72,6.1,action
The Expendables 3,126,35,6.1,action
The Great Wall,103,42,6.1,action
The Huntsman: Winter's War,114,35,6.1,action
The Whole Truth,93,,6.1,drama
Vacation,99,34,6.1,comedy
What's Your Number?,106,35,6.1,comedy
Absolutely Anything,85,31,6,comedy
Dirty Grandpa,102,18,6,comedy
Exodus: Gods and Kings,150,52,6,action
Get Hard,100,34,6,comedy
Grown Ups,102,30,6,comedy
Hercules,98,47,6,action
Immortals,110,46,6,action
Into the Woods,125,69,6,comedy
Love,135,51,6,drama
Mike and Dave Need Wedding Dates,98,51,6,comedy
My Big Fat Greek Wedding 2,94,37,6,comedy
Sisters,118,58,6,comedy
Sleight,89,62,6,action
Taken 3,109,26,6,action
Teenage Mutant Ninja Turtles: Out of the Shadows,112,40,6,action
The Escort,88,46,6,comedy
The Fast and the Furious: Tokyo Drift,104,45,6,action
The Gambler,111,55,6,drama
The Last Witch Hunter,106,34,6,action
The Other Woman,109,39,6,comedy
The Purge: Election Year,109,,6,action
Transformers: Revenge of the Fallen,150,35,6,action
Victor Frankenstein,110,36,6,drama
Assassin's Creed,115,36,5.9,action
Barbershop: The Next Cut,111,67,5.9,comedy
Carrie,100,53,5.9,drama
Footloose,113,58,5.9,comedy
Into the Forest,101,59,5.9,drama
London Has Fallen,99,28,5.9,action
Resident Evil: Afterlife,97,37,5.9,action
Rock of Ages,123,47,5.9,comedy
Teenage Mutant Ninja Turtles,101,31,5.9,action
