name,uploads,subscribers,views
POPS Kids,3751,5621106,4908451376
xFaRgAnx YT,3748,2747227,662810944
Riya Films,3699,1080240,400573269
AM3NlC,3699,11323230,3125213806
Aditya Movies - Telugu & Hindi,3692,2258716,919189826
Manucraft,3691,4053307,1359189838
Univrsal Media Pro,3676,1772292,836840446
GameMixTreize,3635,2456049,910076822
As/Is,3619,10136755,9350864007
TRT 1,3614,713273,403060976
HYPE,3602,815118,456781608
PewDiePie,3601,65995310,18684630003
KOCOWA TV,3599,1554375,626173223
Ultra Music,3586,14813447,9083272850
AtimeOnline,3581,1468551,721016795
XBRAKER VS ARCADE,3568,1011362,549771033
YRF,3564,13419831,7280286813
Thinknoodles,3558,3710498,1322881853
Anthony Ying,3552,1826694,2020250389
Kwebbelkop,3545,8922422,3373682152
América Televisión - Novelas,3542,773094,436156663
PlayCow.com,3537,2664592,1332421426
Jimmy Kimmel Live,3531,12820630,6534665554
DisneyChannelLA,3526,9774825,7561193043
DAYMOLITION,3521,1303563,500225972
Febatista,3514,2828251,568136797
SonyMusicSouthVEVO,3513,4577095,3540450188
Ultra Regional,3502,2775635,1733863531
DroidCheat,3490,1748708,1215129303
Bruce McIntosh,3475,32990,14563764
NoobFromUA,3473,839315,688061179
PrestonPlayz - Minecraft,3473,7193736,2509756896
Papa Jake,3456,5198225,1107406426
LEGENDA FUNK,3454,6370205,1335943968
Crime Watch Daily,3452,1258527,701318998
AuthenticGames,3442,15018366,6057239871
The Lallantop,3441,3243808,575570537
T-Series Apna Punjab,3437,10055513,5384101851
Rovi23,3428,2542338,816442362
赤髪のとものゲーム実況チャンネル!!…,3426,1770672,1693580580
Anand Audio,3426,2306908,1228011095
Superline Music,3423,671952,230351462
قناة الشيخ كشك,3416,3028665,787438630
BCC Trolling,3412,7468094,1724254525
Kelli Maple,3407,904284,780078833
Bulkin,3406,1866758,570744644
ZaiLetsPlay,3403,1406402,427727822
Zee Music Company,3403,23440427,11666909155
Suresh Productions,3397,1073744,629743269
bindass,3397,2671489,859489926
阿神,3389,1643858,584467020
stampylonghead,3389,9049638,6797814265
ColorsTV Promos,3379,621382,282831607
Emergency Awesome,3374,2537309,944778415
La Academia 2018,3367,75204,55530034
3ater Alsham عطر الشام,3364,575111,523420737
