,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
5745,De Clercqstraat 3 II,,,,1053 AA,4-11-2015,,apartment,,3-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49542599-de-clercqstraat-3-ii/,
5746,Jisperveldstraat 584,,,,1024 BC,29-10-2015,,apartment,,3-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49546962-jisperveldstraat-584/,
5747,Burgemeester De Vlugtlaan 215,,,,1063 BL,8-3-2012,,apartment,,26-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-47315931-burgemeester-de-vlugtlaan-215/,
5748,Derde Hugo de Grootstraat 8 -III,,,,1052 LL,11-7-2015,,apartment,,23-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49434640-derde-hugo-de-grootstraat-8-iii/,
5749,Commelinstraat 218,,,,1093 VD,8-1-2016,,apartment,,8-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49601746-commelinstraat-218/,
5750,Ruyschstraat 75 IV,,,,1091 BX,20-8-2015,,apartment,,4-9-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49564997-ruyschstraat-75-iv/,
5751,Blasiusstraat 96 B,,,,1091 CX,14-11-2015,,apartment,,27-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49652226-blasiusstraat-96-b/,
5752,Cabotstraat 11 Hs,,,,1057 VP,23-6-2015,,apartment,,5-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49413845-cabotstraat-11-hs/,
5753,Keizersgracht 393 B,,,,1016 EK,24-11-2015,,apartment,,5-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49662963-keizersgracht-393-b/,
5754,Bolestein 624,,,,1081 EL,20-11-2015,,apartment,,8-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49669022-bolestein-624/,
5755,Overleg 87,,,,1068 RM,9-12-2015,,apartment,,18-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49687711-overleg-87/,
5756,Albatrospad 9,,,,1021 TR,4-11-2015,,apartment,,18-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49542739-albatrospad-9/,
5757,Nachtwachtlaan 275,,,,1058 EJ,6-8-2015,,apartment,,13-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49554971-nachtwachtlaan-275/,
5758,Nachtwachtlaan 485,,,,1058 ES,9-7-2015,,apartment,,24-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49431495-nachtwachtlaan-485/,
5759,Tolkamerstraat 12,,,,1107 PD,10-7-2015,,house,,27-8-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49433426-tolkamerstraat-12/,
5760,Anne Kooistrahof 25,,,,1106 WG,23-10-2015,,house,,17-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49531177-anne-kooistrahof-25/,
5761,Kloekhorststraat 109,,,,1104 ML,22-9-2015,,apartment,,7-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85961202-kloekhorststraat-109/,
5762,Grote Bickersstraat 39 III,,,,1013 KN,7-11-2015,,apartment,,25-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49656220-grote-bickersstraat-39-iii/,
5763,Rietveld Schröderpad 45,,,,1064 WX,28-6-2014,,apartment,,13-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48154213-rietveld-schroderpad-45/,
5764,Schellingwouderdijk 209,,,,1023 NE,13-11-2015,,house,,10-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-49651951-schellingwouderdijk-209/,
5765,Banne Buikslootlaan 115 A,,,,1034 AB,20-10-2015,,apartment,,13-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49537566-banne-buikslootlaan-115-a/,
